decoder,distance,physical_error_rate,noise_model,logical_error_rate,ci_lower,ci_upper,num_shots,num_errors
dqn,3,0.001,depolarizing,0.043,0.03754555055822775,0.048995730855136505,5000,215
dqn,3,0.003,depolarizing,0.1236,0.11459898563373415,0.1330429544390229,5000,618
dqn,3,0.005,depolarizing,0.1874,0.1766683951411642,0.1984978213575007,5000,937
dqn,3,0.007,depolarizing,0.2468,0.2348999302990698,0.2589963602767437,5000,1234
dqn,3,0.01,depolarizing,0.3162,0.3033216870258361,0.32929322244160375,5000,1581
dqn,3,0.02,depolarizing,0.4456,0.4317583877185168,0.4595051784391782,5000,2228
dqn,3,0.03,depolarizing,0.4786,0.46466956952699817,0.4925554350887675,5000,2393
dqn,3,0.05,depolarizing,0.5028,0.48884295540124945,0.5167537729945266,5000,2514
dqn,3,0.07,depolarizing,0.4878,0.47385562554652316,0.5017586293382876,5000,2439
dqn,3,0.1,depolarizing,0.49,0.47605298685599934,0.5039586974650683,5000,2450
mwpm,3,0.001,depolarizing,0.0006,0.00012375152046931287,0.0017524436033960471,5000,3
mwpm,3,0.003,depolarizing,0.0056,0.0037242892661563374,0.008083463298635194,5000,28
mwpm,3,0.005,depolarizing,0.0172,0.013780206600806024,0.021198809964548038,5000,86
mwpm,3,0.007,depolarizing,0.0292,0.024709753198828892,0.034250444081541716,5000,146
mwpm,3,0.01,depolarizing,0.0584,0.05205952357264508,0.06526192273068294,5000,292
mwpm,3,0.02,depolarizing,0.1718,0.16143844804144927,0.18254620332367785,5000,859
mwpm,3,0.03,depolarizing,0.2746,0.26226354991179684,0.2872001120566245,5000,1373
mwpm,3,0.05,depolarizing,0.45,0.43614302054770826,0.4639154037163129,5000,2250
mwpm,3,0.07,depolarizing,0.487,0.4730566516164077,0.5009585380207149,5000,2435
mwpm,3,0.1,depolarizing,0.4912,0.4772516606774579,0.5051586215207146,5000,2456
ppo,3,0.001,depolarizing,0.0512,0.04525434309951199,0.057676270186901524,5000,256
ppo,3,0.003,depolarizing,0.1436,0.1339898777583689,0.15362821551495942,5000,718
ppo,3,0.005,depolarizing,0.2324,0.22075180644125836,0.24436140563906708,5000,1162
ppo,3,0.007,depolarizing,0.2984,0.28573811793686316,0.3112976430033942,5000,1492
ppo,3,0.01,depolarizing,0.362,0.34866307132394186,0.3754982332914832,5000,1810
ppo,3,0.02,depolarizing,0.4598,0.44591270378252673,0.4737342685348466,5000,2299
ppo,3,0.03,depolarizing,0.4902,0.47625276028232055,0.5041586903514721,5000,2451
ppo,3,0.05,depolarizing,0.4946,0.480648336640707,0.5085579728842562,5000,2473
ppo,3,0.07,depolarizing,0.518,0.504042837129741,0.5319361310035887,5000,2590
ppo,3,0.1,depolarizing,0.499,0.4850449859200931,0.5129561825098361,5000,2495
dqn,5,0.001,depolarizing,0.111,0.10242181584514454,0.12003522666276785,5000,555
dqn,5,0.003,depolarizing,0.2638,0.25162558689091935,0.2762507454452277,5000,1319
dqn,5,0.005,depolarizing,0.3436,0.33043089726379665,0.3569519359763041,5000,1718
dqn,5,0.007,depolarizing,0.4142,0.40049997841961893,0.42800028706519944,5000,2071
dqn,5,0.01,depolarizing,0.446,0.4321569456214319,0.4599061530856549,5000,2230
dqn,5,0.02,depolarizing,0.4892,0.4752539153281702,0.5031587037425357,5000,2446
dqn,5,0.03,depolarizing,0.4954,0.48144764762354336,0.5093577271561751,5000,2477
dqn,5,0.05,depolarizing,0.5054,0.49144202711574386,0.519351663359293,5000,2527
dqn,5,0.07,depolarizing,0.497,0.48304637598590394,0.510957129304412,5000,2485
dqn,5,0.1,depolarizing,0.5126,0.4986414118836717,0.5265438658554946,5000,2563
mwpm,5,0.001,depolarizing,0.0,0.0,0.000737503801108105,5000,0
mwpm,5,0.003,depolarizing,0.0042,0.0026016891261868157,0.006413017548422666,5000,21
mwpm,5,0.005,depolarizing,0.0126,0.009695398212967889,0.016092440599664276,5000,63
mwpm,5,0.007,depolarizing,0.036,0.031008887931919037,0.04154178597840884,5000,180
mwpm,5,0.01,depolarizing,0.085,0.07741389544937652,0.09307460690892994,5000,425
mwpm,5,0.02,depolarizing,0.3158,0.3029263069855784,0.3288890709256961,5000,1579
mwpm,5,0.03,depolarizing,0.4364,0.42259405208711437,0.45028026577979247,5000,2182
mwpm,5,0.05,depolarizing,0.4912,0.4772516606774579,0.5051586215207146,5000,2456
mwpm,5,0.07,depolarizing,0.4904,0.47645253592627856,0.5043586810202907,5000,2452
mwpm,5,0.1,depolarizing,0.5004,0.48644414474761216,0.5143553878804232,5000,2502
ppo,5,0.001,depolarizing,0.1204,0.11150327573396318,0.12974249318477882,5000,602
ppo,5,0.003,depolarizing,0.291,0.2784347738567361,0.30380965940864824,5000,1455
ppo,5,0.005,depolarizing,0.3804,0.3669163858847223,0.39402339763055233,5000,1902
ppo,5,0.007,depolarizing,0.4248,0.4110458758330459,0.43864199960578826,5000,2124
ppo,5,0.01,depolarizing,0.4606,0.4467104665516261,0.4745355709375793,5000,2303
ppo,5,0.02,depolarizing,0.4998,0.4858444919520837,0.5137557417338983,5000,2499
ppo,5,0.03,depolarizing,0.5082,0.4942414463862196,0.5221489724764132,5000,2541
ppo,5,0.05,depolarizing,0.5114,0.49744131483667514,0.5253453650297948,5000,2557
ppo,5,0.07,depolarizing,0.4858,0.47185825728121505,0.49975833448645707,5000,2429
ppo,5,0.1,depolarizing,0.4928,0.47885001661157695,0.5067583960919659,5000,2464
dqn,3,0.001,measurement,0.0122,0.009344532689387841,0.015644160797851112,5000,61
dqn,3,0.003,measurement,0.028,0.02360455369374917,0.03295738241041352,5000,140
dqn,3,0.005,measurement,0.0482,0.042428414519099275,0.054506068714489965,5000,241
dqn,3,0.007,measurement,0.0626,0.0560424396063786,0.06967372287398195,5000,313
dqn,3,0.01,measurement,0.094,0.08604983196590445,0.10242772381021951,5000,470
dqn,3,0.02,measurement,0.166,0.1557838743019658,0.17660764152160488,5000,830
dqn,3,0.03,measurement,0.2364,0.22467997890795885,0.2484285311629406,5000,1182
dqn,3,0.05,measurement,0.3234,0.31044040219697905,0.33656607621338475,5000,1617
dqn,3,0.07,measurement,0.3822,0.3687031465220797,0.39583453202101193,5000,1911
dqn,3,0.1,measurement,0.4258,0.41204110545531114,0.4396456011750914,5000,2129
mwpm,3,0.001,measurement,0.0,0.0,0.000737503801108105,5000,0
mwpm,3,0.003,measurement,0.0004,4.84455271182235e-05,0.0014441827958669,5000,2
mwpm,3,0.005,measurement,0.0006,0.00012375152046931287,0.0017524436033960471,5000,3
mwpm,3,0.007,measurement,0.0024,0.0012407107696028052,0.004188560186045313,5000,12
mwpm,3,0.01,measurement,0.005,0.0032382717693455305,0.007372195916770871,5000,25
mwpm,3,0.02,measurement,0.0124,0.009519862845722744,0.015868401006814928,5000,62
mwpm,3,0.03,measurement,0.0294,0.024894160115399418,0.034465749370675924,5000,147
mwpm,3,0.05,measurement,0.068,0.06117588117515462,0.07533354238226661,5000,340
mwpm,3,0.07,measurement,0.1276,0.11847141479970351,0.13716574493167918,5000,638
mwpm,3,0.1,measurement,0.2184,0.20701497035263633,0.2301147094820899,5000,1092
ppo,3,0.001,measurement,0.0106,0.007949928202908336,0.01384239274857881,5000,53
ppo,3,0.003,measurement,0.0306,0.026001791224698825,0.03575640270523292,5000,153
ppo,3,0.005,measurement,0.044,0.03848292993625189,0.05005703405969738,5000,220
ppo,3,0.007,measurement,0.0628,0.05623232353492916,0.06988358832400225,5000,314
ppo,3,0.01,measurement,0.1014,0.09316757886661174,0.11010102482475602,5000,507
ppo,3,0.02,measurement,0.1636,0.1534453636843109,0.1741489944642386,5000,818
ppo,3,0.03,measurement,0.2386,0.22684109147428352,0.25066483302894565,5000,1193
ppo,3,0.05,measurement,0.328,0.31499031104609265,0.34121078174447084,5000,1640
ppo,3,0.07,measurement,0.3772,0.3637404071656682,0.39080311866929085,5000,1886
ppo,3,0.1,measurement,0.4498,0.43594369540664696,0.4637149625768832,5000,2249
mwpm,5,0.001,measurement,0.0,0.0,0.000737503801108105,5000,0
mwpm,5,0.003,measurement,0.0,0.0,0.000737503801108105,5000,0
mwpm,5,0.005,measurement,0.0,0.0,0.000737503801108105,5000,0
mwpm,5,0.007,measurement,0.0,0.0,0.000737503801108105,5000,0
mwpm,5,0.01,measurement,0.0004,4.84455271182235e-05,0.0014441827958669,5000,2
mwpm,5,0.02,measurement,0.0066,0.004547364184852602,0.009256476822484042,5000,33
mwpm,5,0.03,measurement,0.0166,0.013242931039371414,0.02053715459639713,5000,83
mwpm,5,0.05,measurement,0.069,0.06212795282156998,0.07638022866350316,5000,345
mwpm,5,0.07,measurement,0.156,0.14604535060788681,0.1663580160154917,5000,780
mwpm,5,0.1,measurement,0.297,0.2843560978344889,0.3098813036370551,5000,1485
dqn,3,0.001,biased_z,0.0372,0.03212608998766372,0.04282294943588828,5000,186
dqn,3,0.003,biased_z,0.12,0.111116455337405,0.1293297924877106,5000,600
dqn,3,0.005,biased_z,0.185,0.1743234073865941,0.1960456428037827,5000,925
dqn,3,0.007,biased_z,0.2476,0.2356864728735076,0.25980887806541686,5000,1238
dqn,3,0.01,biased_z,0.3238,0.3108359898208846,0.3369700202478756,5000,1619
dqn,3,0.02,biased_z,0.477,0.4630724743464246,0.49095439980934813,5000,2385
dqn,3,0.03,biased_z,0.5402,0.5262657314651533,0.5540872962174732,5000,2701
dqn,3,0.05,biased_z,0.5572,0.5433018969066903,0.5710312647477193,5000,2786
dqn,3,0.07,biased_z,0.5246,0.5106467777632061,0.5385244785332064,5000,2623
dqn,3,0.1,biased_z,0.514,0.5000416260441455,0.5279420158767882,5000,2570
mwpm,3,0.001,biased_z,0.0,0.0,0.000737503801108105,5000,0
mwpm,3,0.003,biased_z,0.0004,4.84455271182235e-05,0.0014441827958669,5000,2
mwpm,3,0.005,biased_z,0.0002,5.06354877705159e-06,0.001113819380333972,5000,1
mwpm,3,0.007,biased_z,0.002,0.0009594813177485524,0.0036749854808604205,5000,10
mwpm,3,0.01,biased_z,0.0046,0.0029181727485038354,0.0068943106658418355,5000,23
mwpm,3,0.02,biased_z,0.0128,0.009871133974680034,0.01631628421578293,5000,64
mwpm,3,0.03,biased_z,0.0298,0.025263146108413476,0.03489618942578422,5000,149
mwpm,3,0.05,biased_z,0.0732,0.06613120693438063,0.0807717754862189,5000,366
mwpm,3,0.07,biased_z,0.1206,0.11169669800512698,0.12994883148599223,5000,603
mwpm,3,0.1,biased_z,0.1954,0.1844898171221886,0.20666695949517846,5000,977
ppo,3,0.001,biased_z,0.0114,0.00864536768753444,0.014745094198456791,5000,57
ppo,3,0.003,biased_z,0.034,0.0291503570076293,0.03940306821806075,5000,170
ppo,3,0.005,biased_z,0.0458,0.04017222160147715,0.05196538365500822,5000,229
ppo,3,0.007,biased_z,0.062,0.05547290521552928,0.06904400964291378,5000,310
ppo,3,0.01,biased_z,0.083,0.07549819063259625,0.09099275465220538,5000,415
